"Title"	"ISSN"	"Languages (three-letter ISO language codes)"
"ANALES DE FILOLOGIA FRANCESA"	"0213-2958|1989-4678"	"FRE|SPA"
"ANALES DE GEOGRAFIA DE LA UNIVERSIDAD COMPLUTENSE"	"0211-9803|1988-2378"	"SPA"
"ANALES DE HISTORIA DEL ARTE"	"0214-6452|1988-2491"	"ENG|SPA"
"ANALES DE LA ASOCIACION FISICA ARGENTINA"	"1850-1168|0327-358X"	"ENG|SPA"
"ANALES DE LA FACULTAD DE MEDICINA - UNIVERSIDAD DE LA REPUBLICA URUGUAY"	"2301-1254"	"ENG|POR|SPA"
"ANALES DE LA LITERATURA ESPANOLA CONTEMPORANEA"	"0272-1635"	"ENG|MUL|SPA"
"ANALES DEL INSTITUTO DE ACTUARIOS ESPANOLES"	"0534-3232|2531-2308"	"MUL"
"ANALES DEL INSTITUTO DE INVESTIGACIONES ESTETICAS"	"1870-3062"	"SPA"
"ANALES DE LITERATURA CHILENA"	"0717-6058|0719-0913"	"SPA"
"ANALES DE LITERATURA ESPANOLA"	"0212-5889|2695-4257"	"SPA"
"ANALES DE LITERATURA HISPANOAMERICANA"	"0210-4547|1988-2351"	"SPA"
"ANALES DEL JARDIN BOTANICO DE MADRID"	"0211-1322|1988-3196"	"ENG|SPA"
"ANALES DEL SEMINARIO DE HISTORIA DE LA FILOSOFIA"	"0211-2337|1988-2564"	"ENG|FRE|GER|SPA"
"ANALES DEL SISTEMA SANITARIO DE NAVARRA"	"1137-6627|2340-3527"	"SPA"
"ANALES DE PEDIATRIA"	"1695-4033|1695-9531"	"ENG|MUL"
"ANALES DE PSICOLOGIA"	"0212-9728|1695-2294"	"ENG|SPA"
"ANALES GALDOSIANOS"	"0569-9924|2161-301X"	"MUL"
"ANALI HRVATSKOG POLITOLOSKOG DRUSTVA"	"1845-6707|1847-5299"	"HRV"
"ANALISE PSICOLOGICA"	"0870-8231"	"POR"
"ANALISE SOCIAL"	"0003-2573"	"ENG|POR"
"ANALISI LINGUISTICA E LETTERARIA"	"1122-1917|1827-7985"	"ENG|FRE|GER|ITA|RUS"
"ANALISI - QUADERNS DE COMUNICACIO I CULTURA"	"2340-5236|0211-2175"	"CAT|ENG|SPA"
"ANALISIS FILOSOFICO"	"0326-1301|1851-9636"	"SPA"
"ANALISIS POLITICO"	"0121-4705"	"SPA"
"ANALIZA I EGZYSTENCJA"	"1734-9923|2300-7621"	"POL"
"ANALI ZAVODA ZA POVIJESNE ZNANOSTI HRVATSKE AKADEMIJE ZNANOSTI I UMJETNOSTI U DUBROVNIKU"	"1330-0598|1848-7815"	"HRV"
"ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING"	"0925-1030|1573-1979"	"ENG"
"ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY"	"1529-7489|1530-2415"	"ENG"
"ANALYSES - REVUE DE CRITIQUE ET DE THEORIE LITTERAIRE"	"1715-9261"	"FRE"
"ANALYSE UND KRITIK"	"0171-5860"	"ENG|GER"
"ANALYSIS"	"0003-2638|1467-8284"	"ENG"
"ANALYSIS AND APPLICATIONS"	"0219-5305|1793-6861"	"ENG"
"ANALYSIS AND GEOMETRY IN METRIC SPACES"	"2299-3274"	"ENG"
"ANALYSIS AND MATHEMATICAL PHYSICS"	"1664-235X|1664-2368"	"ENG"
"ANALYSIS AND METAPHYSICS"	"1584-8574"	"ENG"
"ANALYSIS AND PDE"	"2157-5045|1948-206X"	"ENG"
"ANALYSIS (GERMANY)"	"2196-6753"	"ENG"
"ANALYSIS IN THEORY AND APPLICATIONS"	"1573-8175|1672-4070"	""
"ANALYSIS MATHEMATICA"	"0133-3852|1588-273X"	"ENG"
"ANALYSIS OF VERBAL BEHAVIOR"	"0889-9401|2196-8926"	"ENG"
"ANALYTICA CHIMICA ACTA"	"0003-2670|1873-4324"	"ENG|FRE|GER|MUL"
"ANALYTICA CHIMICA ACTA: X"	"2590-1346"	"ENG"
"ANALYTICAL AND BIOANALYTICAL CHEMISTRY"	"1618-2642|1618-2650"	"ENG"
"ANALYTICAL AND BIOANALYTICAL CHEMISTRY RESEARCH"	"2383-093X"	"ENG"
"ANALYTICAL AND BIOANALYTICAL ELECTROCHEMISTRY"	"2008-4226"	"ENG"
"ANALYTICAL AND QUANTITATIVE CYTOPATHOLOGY AND HISTOPATHOLOGY"	"2578-742X|0884-6812"	"ENG"
"ANALYTICAL BIOCHEMISTRY"	"0003-2697|1096-0309"	"ENG"
"ANALYTICAL CELLULAR PATHOLOGY"	"2210-7177|2210-7185"	"ENG"
"ANALYTICAL CHEMISTRY"	"0003-2700|1520-6882"	"ENG"
"ANALYTICAL LETTERS"	"0003-2719|1532-236X"	"ENG"
"ANALYTICAL METHODS"	"1759-9660|1759-9679"	"ENG"
"ANALYTICAL METHODS IN ENVIRONMENTAL CHEMISTRY JOURNAL"	"2645-5382|2645-5552"	"ENG"
"ANALYTICAL SCIENCE AND TECHNOLOGY"	"1225-0163|2288-8985"	"ENG|MUL"
"ANALYTICAL SCIENCES"	"0910-6340|1348-2246"	"ENG"
"ANALYTIC METHODS IN ACCIDENT RESEARCH"	"2213-6657|2213-6665"	"ENG"
"ANALYTIC PHILOSOPHY"	"2153-9596|2153-960X"	"ENG"
"ANAQUEL DE ESTUDIOS ARABES"	"1130-3964|1988-2645"	"MUL"
"ANASTASIS"	"2392-862X|2392-9472"	"FRE"
"ANASTHESIOLOGIE, INTENSIVMEDIZIN, NOTFALLMEDIZIN, SCHMERZTHERAPIE : AINS"	"0939-2661|1439-1074"	"GER|MUL"
"ANASTHESIOLOGIE UND INTENSIVMEDIZIN"	"0170-5334|1439-0256"	"GER|MUL"
"ANAS TRANSACTIONS, EARTH SCIENCES"	"2218-8754|2663-0419"	"AZE|ENG|RUS"
"ANATOLIA - INTERNATIONAL JOURNAL OF TOURISM AND HOSPITALITY RESEARCH"	"1303-2917|2156-6909"	"ENG"
"ANATOLIAN JOURNAL OF CARDIOLOGY"	"2149-2263|2149-2271"	"ENG"
"ANATOLIAN JOURNAL OF FAMILY MEDICINE"	"2630-5593|2651-3455"	"ENG"
"ANATOLIAN STUDIES"	"0066-1546|2048-0849"	"ENG"
"ANATOLICA"	"0066-1554|1875-6654"	"ENG"
"ANATOMICAL RECORD - ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY"	"1932-8486|1932-8494"	"ENG"
"ANATOMICAL SCIENCE INTERNATIONAL"	"1447-073X|1447-6959"	"ENG"
"ANATOMICAL SCIENCES EDUCATION"	"1935-9772|1935-9780"	"ENG"
"ANATOMY AND CELL BIOLOGY"	"2093-3673|2093-3665"	"ENG"
"ANCIENT ASIA - JOURNAL OF THE SOCIETY OF SOUTH ASIAN ARCHAEOLOGY"	"2042-5937"	"ENG"
"ANCIENT CIVILIZATIONS FROM SCYTHIA TO SIBERIA"	"0929-077X|1570-0577"	"ENG"
"ANCIENT MESOAMERICA"	"0956-5361|1469-1787"	"ENG|MUL"
"ANCIENT NEAR EASTERN STUDIES"	"1378-4641|1783-1326"	"ENG"
"ANCIENT PHILOSOPHY"	"0740-2007|2154-4689"	"ENG"
"ANCIENT SCIENCE OF LIFE"	"0257-7941|2249-9547"	"ENG"
"ANCIENT SOCIETY"	"0066-1619|1783-1334"	"ENG|FRE|GER|ITA"
"ANCLAJES"	"0329-3807|1851-4669"	"SPA"
"ANDAMIOS: REVISTA DE INVESTIGACION SOCIAL"	"1870-0063|2594-1917"	"SPA"
"ANDEAN GEOLOGY"	"0718-7092|0718-7106"	"ENG|SPA"
"ANDES PEDIATRICA"	"2452-6045|2452-6053"	"ENG"
"ANDROLOGIA"	"0303-4569|1439-0272"	"ENG|GER|MUL"
"ANDROLOGY"	"2047-2919|2047-2927"	"ENG"
"ANDULI"	"1696-0270|2340-4973"	"SPA"
"ANEMIA"	"2090-1267|2090-1275"	"ENG"
"ANESTEZI DERGISI"	"1300-0578"	"TUR"
"ANESTEZIOLOGIE A INTENZIVNI MEDICINA"	"1214-2158|1805-4412"	"CZE|MUL"
"ANESTHESIA AND ANALGESIA"	"1526-7598|0003-2999"	"ENG"
"ANESTHESIA PROGRESS"	"0003-3006"	"ENG"
"ANESTHESIE ET REANIMATION"	"2352-5800|2352-5819"	"ENG|FRE"
"ANESTHESIOLOGY"	"0003-3022|1528-1175"	"ENG"
"ANESTHESIOLOGY AND PAIN MEDICINE"	"2228-7523|2228-7531"	"ENG"
"ANESTHESIOLOGY CLINICS."	"1932-2275"	"ENG"
"ANESTHESIOLOGY RESEARCH AND PRACTICE"	"1687-6962|1687-6970"	"ENG"
"ANGELAKI - JOURNAL OF THE THEORETICAL HUMANITIES"	"0969-725X|1469-2899"	"ENG"
"ANGERMION - YEARBOOK FOR ANGLO - GERMAN LITERARY CRITICISM INTELLECTUAL HISTORY AND CULTURAL TRANSFERS - JAHRBUCH FUER BRITISCH - DEUTSCHE KULTURBEZIEHUNGEN"	"1438-2091|1868-9426"	"MUL"
"ANGEWANDTE CHEMIE - INTERNATIONAL EDITION"	"1433-7851|1521-3773"	"ENG"
"ANGIOGENESIS"	"0969-6970|1573-7209"	"ENG"
"ANGIOLOGIA"	"0003-3170|1695-2987"	"SPA"
"ANGIOLOGY"	"0003-3197|1940-1574"	"ENG"
"ANGLE ORTHODONTIST"	"0003-3219|1945-7103"	"ENG"
"ANGLES"	"2274-2042"	"ENG|FRE"
"ANGLIA - ZEITSCHRIFT FUR ENGLISCHE PHILOLOGIE"	"0340-5222|1865-8938"	"ENG|GER|MUL"
"ANGLICA"	"0860-5734"	"ENG"
"ANGLO SAXONICA"	"0873-0628"	"POR"
"ANGULO RECTO - REVISTA DE ESTUDIOS SOBRE LA CIUDAD COMO ESPACIO PLURAL"	"1989-4015"	""
"ANIL AGGRAWAL'S INTERNET JOURNAL OF FORENSIC MEDICINE AND TOXICOLOGY"	"0972-8074|0972-8066"	"ENG"
"ANIMAL"	"1751-7311|1751-732X"	"ENG"
"ANIMAL BEHAVIOUR"	"0003-3472|1095-8282"	"ENG"
"ANIMAL BIODIVERSITY AND CONSERVATION"	"1578-665X|2014-928X"	"ENG|SPA"
"ANIMAL BIOLOGY"	"1570-7555|1570-7563"	"ENG"
"ANIMAL BIOSCIENCE"	"2765-0189|2765-0235"	"ENG"
"ANIMAL BIOTECHNOLOGY"	"1049-5398|1532-2378"	"ENG"
"ANIMAL BIOTELEMETRY"	"2050-3385"	"ENG"
"ANIMAL CELLS AND SYSTEMS"	"1976-8354|2151-2485"	"ENG"
"ANIMAL COGNITION"	"1435-9448|1435-9456"	"ENG"
"ANIMAL CONSERVATION"	"1367-9430|1469-1795"	"ENG"
"ANIMAL FEED SCIENCE AND TECHNOLOGY"	"0377-8401|1873-2216"	"ENG"
"ANIMAL FRONTIERS"	"2160-6056|2160-6064"	"ENG"
"ANIMAL GENE"	"2352-4065"	"ENG"
"ANIMAL GENETICS"	"0268-9146|1365-2052"	"ENG"
"ANIMAL HEALTH RESEARCH REVIEWS"	"1466-2523|1475-2654"	"ENG"
"ANIMAL MICROBIOME"	"2524-4671"	"ENG"
"ANIMAL MIGRATION"	"2084-8838"	"ENG"
"ANIMAL MODELS AND EXPERIMENTAL MEDICINE"	"2096-5451|2576-2095"	"ENG"
"ANIMAL NUTRITION"	"2405-6383|2405-6545"	"ENG"
"ANIMAL NUTRITION AND FEED TECHNOLOGY"	"0972-2963|0974-181X"	"ENG"
"ANIMAL PRODUCTION SCIENCE"	"1836-0939|1836-5787"	"ENG"
"ANIMAL REPRODUCTION"	"1806-9614|1984-3143"	"ENG"
"ANIMAL REPRODUCTION SCIENCE"	"0378-4320|1873-2232"	"DUT|ENG"
"ANIMALS"	"2076-2615"	"ENG"
"ANIMAL SCIENCE JOURNAL"	"1344-3941|1740-0929"	"ENG"
"ANIMAL SCIENCE PAPERS AND REPORTS"	"2300-8342|0860-4037"	"ENG|MUL"
"ANIMAL WELFARE"	"0962-7286"	"ENG"
"ANIMATION - AN INTERDISCIPLINARY JOURNAL"	"1746-8477|1746-8485"	"ENG"
"ANKARA AVRUPA CALISMALARI DERGISI - ANKARA REVIEW OF EUROPEAN STUDIES"	"1303-2518"	"ENG|TUR"
"ANKARA MEDICAL JOURNAL"	"1303-2283|2148-4570"	"ENG"
"ANKARA UNIVERSITESI ECZACILIK FAKULTESI DERGISI"	"1015-3918"	"TUR"
"ANKARA UNIVERSITESI EGITIM BILIMLERI FAKULTESI OZEL EGITIM DERGISI - ANKARA UNIVERSITY FACULTY OF EDUCATIONAL SCIENCES JOURNAL OF SPECIAL EDUCATION"	"1304-7639|2149-8261"	"ENG|TUR"
"ANKARA UNIVERSITESI ILAHIYAT FAKULTESI DERGISI"	"1301-0522|1309-2057"	"ENG|TUR"
"ANKARA UNIVERSITESI VETERINER FAKULTESI DERGISI"	"1300-0861|1308-2817"	"ENG|TUR"
"ANNALEN DER PHYSIK"	"0003-3804|1521-3889"	"ENG|MUL"
"ANNALES"	"0395-2649"	"FRE"
"ANNALES ACADEMIAE SCIENTIARUM FENNICAE MATHEMATICA"	"1239-629X|1798-2383"	"ENG"
"ANNALES: ANALI ZA ISTRSKE IN MEDITERANSKE STUDIJE - ANNALI DI STUDI ISTRIANI E MEDITERRANEI - ANNALS FOR ISTRIAN AND MEDITERRANEAN STUDIES. SERIES HISTORIA ET SOCIOLOGIA"	"1408-5348|2591-1775"	"ENG|HRV|ITA|SLV"
"ANNALES BOGORIENSES - JOURNAL OF TROPICAL GENERAL BOTANY"	"0517-8452"	"ENG"
"ANNALES BOTANICI FENNICI"	"0003-3847|1797-2442"	"ENG"
"ANNALES DE BIOLOGIE CLINIQUE"	"0003-3898|1950-6112"	"ENG|FRE|MUL"
"ANNALES DE BOURGOGNE"	"0003-3901"	"FRE"
"ANNALES DE BRETAGNE ET DES PAYS DE L'OUEST"	"0399-0826|2108-6443"	"FRE|GER|ENG"
"ANNALES DE CARDIOLOGIE ET D'ANGEIOLOGIE"	"0003-3928"	"FRE"
"ANNALES DE CHIMIE: SCIENCE DES MATERIAUX"	"0151-9107|1958-5934"	"ENG|FRE|MUL"
"ANNALES DE CHIRURGIE PLASTIQUE ET ESTHETIQUE"	"0294-1260|1768-319X"	"FRE"
"ANNALES DE DEMOGRAPHIE HISTORIQUE"	"0066-2062"	"ENG|FRE"
"ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE"	"0151-9638|2214-5451"	"FRE|MUL"
"ANNALES DE GEOGRAPHIE"	"0003-4010"	"FRE"
"ANNALES DE LA FONDATION LOUIS DE BROGLIE"	"0182-4295"	"ENG"
"ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE"	"0037-9271|2168-6351"	"ENG|FRE|MUL"
"ANNALES DE LIMNOLOGIE"	"0003-4088"	"ENG"
"ANNALES DE L'INSTITUT FOURIER"	"0373-0956|1777-5310"	"ENG|MUL"
"ANNALES DE L'INSTITUT HENRI POINCARE (B) PROBABILITY AND STATISTICS"	"0246-0203"	"ENG|MUL"
"ANNALES DE L'INSTITUT HENRI POINCARE (C) ANALYSE NON LINEAIRE"	"0294-1449|1873-1430"	"ENG|MUL"
"ANNALES DE L'INSTITUT HENRI POINCARE (D) COMBINATORICS, PHYSICS AND THEIR INTERACTIONS"	"2308-5827|2308-5835"	"ENG"
"ANNALES D'ENDOCRINOLOGIE"	"0003-4266|2213-3941"	"FRE|MUL"
"ANNALES DE PALEONTOLOGIE"	"0753-3969|1778-3666"	"FRE|MUL"
"ANNALES DE PATHOLOGIE"	"0242-6498|2213-008X"	"FRE|MUL"
"ANNALES DES TELECOMMUNICATIONS/ANNALS OF TELECOMMUNICATIONS"	"0003-4347|1958-9395"	"ENG|FRE"
"ANNALES D'UNIVERSITE 'VALAHIA' TARGOVISTE, SECTION D'ARCHEOLOGIE ET D'HISTOIRE"	"1584-1855"	"ENG|FRE|GER"
"ANNALES FENNICI MATHEMATICI"	"2737-0690|2737-114X"	"ENG"
"ANNALES FRANCAISES DE MEDECINE D'URGENCE"	"2108-6524|2108-6591"	"FRE"
"ANNALES FRANCAISES D'OTO - RHINO - LARYNGOLOGIE ET DE PATHOLOGIE CERVICO - FACIALE"	"1879-7261"	"FRE"
"ANNALES GEOPHYSICAE"	"0992-7689|1432-0576"	"ENG"
"ANNALES HENRI POINCARE"	"1424-0637|1424-0661"	"ENG"
"ANNALES HISTORIQUES DE LA REVOLUTION FRANCAISE"	"0003-4436|1952-403X"	"FRE|ENG"
"ANNALES INSTITUTI ARCHAEOLOGICI"	"1848-6363|1845-4046"	"ENG|HRV"
"ANNALES MATHEMATICAE ET INFORMATICAE"	"1787-5021|1787-6117"	"ENG"
"ANNALES MATHEMATICAE SILESIANAE"	"0860-2107|2391-4238"	"ENG"
"ANNALES MATHEMATIQUES BLAISE PASCAL"	"1259-1734|2118-7436"	"ENG"
"ANNALES MATHEMATIQUES DU QUEBEC"	"2195-4755|2195-4763"	"ENG|MUL"
"ANNALES MEDICO - PSYCHOLOGIQUES"	"0003-4487|1769-6631"	"FRE|MUL"
"ANNALES PHARMACEUTIQUES FRANCAISES"	"0003-4509"	"FRE|MUL"
"ANNALES POLONICI MATHEMATICI"	"0066-2216|1730-6272"	"ENG|POL"
"ANNALES SCIENTIFIQUES DE L'ECOLE NORMALE SUPERIEURE"	"0012-9593|1873-2151"	"ENG|FRE|MUL"
"ANNALES, SERIES HISTORIA NATURALIS"	"1408-533X"	"ENG"
"ANNALES SOCIETATIS GEOLOGORUM POLONIAE"	"0208-9068"	"ENG"
"ANNALES UNIVERSITATES PAEDAGOGICAE CRACOVIENSIS. STUDIA AD DIDACTICAM MATHEMATICAE PERTINENTIA"	"2080-9751|2450-341X"	"ENG"
"ANNALES UNIVERSITATIS APULENSIS. SERIES HISTORICA"	"1453-9306"	"RUM"
"ANNALES - UNIVERSITATIS MARIAE CURIE - SKLODOWSKA, SECTIO B"	"0137-1983"	"ENG|POL"
"ANNALES UNIVERSITATIS PAEDAGOGICAE CRACOVIENSIS - STUDIA MATHEMATICA"	"2081-545X|2300-133X"	"ENG|FRE|GER"
"ANNALES ZOOLOGICI"	"0003-4541|1734-1833"	"ENG|FRE|GER|MUL"
"ANNALES ZOOLOGICI FENNICI"	"0003-455X|1797-2450"	"ENG"
"ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA - CLASSE DI SCIENZE"	"0391-173X|2036-2145"	"ENG|ITA|MUL"
"ANNALI DELL'ISTITUTO STORICO ITALI - GERMANICO IN TRENTO"	"0392-0011|2612-2251"	"ENG"
"ANNALI DELL'ISTITUTO SUPERIORE DI SANITA"	"0021-2571|2384-8553"	"ENG|ITA"
"ANNALI DELL'UNIVERSITA DI FERRARA"	"0430-3202|1827-1510"	"ENG|FRE|GER|ITA|SPA"
"ANNALI DI BOTANICA"	"0365-0812|2239-3129"	"ENG"
"ANNALI DI CA FOSCARI SERIE ORIENTALE"	"2385-3042"	"ENG|ITA"
"ANNALI DI IGIENE MEDICINA PREVENTIVA E DI COMUNITA"	"1120-9135"	"ENG|MUL"
"ANNALI DI MATEMATICA PURA ED APPLICATA"	"0373-3114|1618-1891"	"ENG|MUL"
"ANNALI DI SCIENZE RELIGIOSE"	"2031-5929|2294-8775"	"ITA"
"ANNALI DI STOMATOLOGIA"	"1824-0852|1971-1441"	""
"ANNALI DI STORIA DELL'ESEGESI"	"1120-4001"	"ITA"
"ANNALI DI STORIA DELLE UNIVERSITA ITALIANE"	"1127-8250"	"ENG"
"ANNALI ITALIANI DI CHIRURGIA"	"0003-469X|2239-253X"	"ENG|ITA"
"ANNALS ABBASI SHAHEED HOSPITAL & KARACHI MEDICAL & DENTAL COLLEGE"	"1563-3241"	"ENG"
"ANNALS IN SOCIAL RESPONSIBILITY"	"2056-3515|2056-3523"	"ENG"
"ANNALS OF ACTUARIAL SCIENCE"	"1748-4995|1748-5002"	"ENG"
"ANNALS OF AFRICAN MEDICINE"	"0975-5764|1596-3519"	"ENG"
"ANNALS OF AFRICAN SURGERY"	"1999-9674|2523-0816"	"ENG"
"ANNALS OF AGRI BIO RESEARCH"	"0971-9660"	"ENG"
"ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE"	"1232-1966|1898-2263"	"ENG"
"ANNALS OF AGRICULTURAL SCIENCES"	"0570-1783|2090-8377"	"ENG"
"ANNALS OF ALLERGY, ASTHMA AND IMMUNOLOGY"	"1081-1206|1534-4436"	"ENG"
"ANNALS OF ANATOMY - ANATOMISCHER ANZEIGER"	"0940-9602|1618-0402"	"ENG|GER"
"ANNALS OF ANIMAL SCIENCE"	"1642-3402|2300-8733"	"ENG"
"ANNALS OF ANTHROPOLOGICAL PRACTICE"	"2153-957X|2153-9588"	"ENG"
"ANNALS OF APPLIED BIOLOGY"	"0003-4746|1744-7348"	"ENG"
"ANNALS OF APPLIED PROBABILITY"	"1050-5164"	"ENG"
"ANNALS OF APPLIED SPORT SCIENCE"	"2476-4981|2322-4479"	"ENG"
"ANNALS OF APPLIED STATISTICS"	"1932-6157|1941-7330"	"ENG"
"ANNALS OF ARID ZONE"	"0570-1791"	"ENG"
"ANNALS OF BEHAVIORAL MEDICINE"	"0883-6612|1532-4796"	"ENG"
"ANNALS OF BIOLOGY"	"0970-0153"	"ENG"
"ANNALS OF BIOMEDICAL ENGINEERING"	"1521-6047|0090-6964|1573-9686"	"ENG"
"ANNALS OF BLOOD"	"2521-361X"	"ENG"
"ANNALS OF BOTANY"	"0305-7364|1095-8290"	"ENG"
"ANNALS OF BURNS AND FIRE DISASTERS"	"1592-9566"	"ENG|FRE"
"ANNALS OF CANCER RESEARCH AND THERAPY"	"1344-6835"	"ENG"
"ANNALS OF CARDIAC ANAESTHESIA"	"0971-9784|0974-5181"	"ENG"
"ANNALS OF CARDIOTHORACIC SURGERY"	"2225-319X|2304-1021"	"ENG"
"ANNALS OF CARNEGIE MUSEUM"	"0097-4463|1943-6300"	"ENG"
"ANNALS OF CHILD NEUROLOGY"	"2635-909X|2635-9103"	"ENG"
"ANNALS OF CLINICAL AND ANALYTICAL MEDICINE"	"2667-663X"	"ENG"
"ANNALS OF CLINICAL AND LABORATORY SCIENCE"	"0091-7370|1550-8080"	"ENG"
"ANNALS OF CLINICAL AND TRANSLATIONAL NEUROLOGY"	"2328-9503"	"ENG"
"ANNALS OF CLINICAL BIOCHEMISTRY"	"0004-5632|1758-1001"	"ENG"
"ANNALS OF CLINICAL MICROBIOLOGY AND ANTIMICROBIALS"	"1476-0711"	"ENG"
"ANNALS OF CLINICAL PSYCHIATRY"	"1040-1237|1547-3325"	"ENG"
"ANNALS OF COLOPROCTOLOGY"	"2287-9714|2287-9722"	"ENG|KOR"
"ANNALS OF COMBINATORICS"	"0218-0006|0219-3094"	"ENG"
"ANNALS OF CORPORATE GOVERNANCE"	"2381-6724|2381-6732"	"ENG"
"ANNALS OF DATA SCIENCE"	"2198-5804|2198-5812"	"ENG"
"ANNALS OF DENTAL SPECIALTY"	"2321-8436|2347-2022"	"ENG"
"ANNALS OF DERMATOLOGY"	"1013-9087|2005-3894"	"ENG"
"ANNALS OF DIAGNOSTIC PATHOLOGY"	"1092-9134|1532-8198"	"ENG"
"ANNALS OF """"""""DUNAREA DE JOS"""""""" UNIVERSITY OF GALATI, FASCICLE XII, WELDING EQUIPMENT AND TECHNOLOGY"	"1221-4639"	"ENG"
"ANNALS OF DYSLEXIA"	"0736-9387|1934-7243"	"ENG"
"ANNALS OF ECONOMICS AND FINANCE"	"1529-7373"	"ENG"
"ANNALS OF ECONOMICS AND STATISTICS"	"1968-3863|2115-4430"	"ENG"
"ANNALS OF EMERGENCY MEDICINE"	"0196-0644|1097-6760"	"ENG"
"ANNALS OF EMERGING TECHNOLOGIES IN COMPUTING"	"2516-0281|2516-029X"	"ENG"
"ANNALS OF EPIDEMIOLOGY"	"1047-2797|1873-2585"	"ENG"
"ANNALS OF ESOPHAGUS"	"2616-2784"	"ENG"
"ANNALS OF EYE SCIENCE"	"2520-4122"	"ENG"
"ANNALS OF FAMILY MEDICINE"	"1544-1709|1544-1717"	"ENG"
"ANNALS OF FINANCE"	"1614-2446|1614-2454"	"ENG"
"ANNALS OF FINANCIAL ECONOMICS"	"2010-4952|2010-4960"	"ENG"
"ANNALS OF FOREST RESEARCH"	"1844-8135|2065-2445"	"ENG|RUM"
"ANNALS OF FOREST SCIENCE"	"1286-4560|1297-966X"	"ENG|FRE|MUL"
"ANNALS OF FUNCTIONAL ANALYSIS"	"2008-8752|2639-7390"	"ENG"
"ANNALS OF GASTROENTEROLOGICAL SURGERY"	"2475-0328"	"ENG"
"ANNALS OF GASTROENTEROLOGY"	"1108-7471|1792-7463"	"ENG|GRE"
"ANNALS OF GENERAL PSYCHIATRY"	"1744-859X"	"ENG"
"ANNALS OF GEOPHYSICS"	"1593-5213|2037-416X"	"ENG"
"ANNALS OF GERIATRIC MEDICINE AND RESEARCH"	"2508-4798|2508-4909"	"ENG"
"ANNALS OF GIS"	"1947-5683|1947-5691"	"ENG"
"ANNALS OF GLACIOLOGY"	"0260-3055|1727-5644"	"ENG"
"ANNALS OF GLOBAL ANALYSIS AND GEOMETRY"	"0232-704X|1572-9060"	"ENG"
"ANNALS OF GLOBAL HEALTH"	"2214-9996"	"ENG"
"ANNALS OF HEMATOLOGY"	"0939-5555|1432-0584"	"ENG"
"ANNALS OF HEPATO - BILIARY - PANCREATIC SURGERY"	"2508-5778|2508-5859"	"ENG"
"ANNALS OF HEPATOLOGY"	"1665-2681"	"ENG"
"ANNALS OF HUMAN BIOLOGY"	"0301-4460|1464-5033"	"ENG"
"ANNALS OF HUMAN GENETICS"	"0003-4800|1469-1809"	"ENG"
"ANNALS OF INDIAN ACADEMY OF NEUROLOGY"	"0972-2327|1998-3549"	"ENG"
"ANNALS OF INDIAN PSYCHIATRY"	"2588-8358|2588-8366"	"ENG"
"ANNALS OF INTENSIVE CARE"	"2110-5820"	"ENG"
"ANNALS OF INTERNAL MEDICINE"	"0003-4819|1539-3704"	"ENG"
"ANNALS OF JOINT"	"2415-6809"	"ENG"
"ANNALS OF KING EDWARD MEDICAL UNIVERSITY LAHORE PAKISTAN"	"2079-0694|2079-7192"	"ENG"
"ANNALS OF K - THEORY"	"2379-1683|2379-1691"	"ENG"
"ANNALS OF LABORATORY MEDICINE"	"2234-3806|2234-3814"	"ENG"
"ANNALS OF LAPAROSCOPIC AND ENDOSCOPIC SURGERY"	"2518-6973"	"ENG"
"ANNALS OF LEISURE RESEARCH"	"1174-5398|2159-6816"	"ENG"
"ANNALS OF LIBRARY AND INFORMATION STUDIES"	"0972-5423|0975-2404"	"ENG"
"ANNALS OF MATHEMATICAL SCIENCES AND APPLICATIONS"	"2380-288X|2380-2898"	"ENG"
"ANNALS OF MATHEMATICS"	"0003-486X|1939-8980"	"ENG"
"ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE"	"1012-2443|1573-7470"	"ENG"
"ANNALS OF MAXILLOFACIAL SURGERY"	"2231-0746|2249-3816"	"ENG"
"ANNALS OF MEDICINE"	"1651-2219|0785-3890|1365-2060"	"ENG"
"ANNALS OF MEDICINE AND SURGERY"	"2049-0801"	"ENG"
"ANNALS OF MICROBIOLOGY"	"1590-4261|1869-2044"	"ENG|ITA"
"ANNALS OF MOVEMENT DISORDERS"	"2590-3446|2590-3454"	"ENG"
"ANNALS OF NEUROLOGY"	"0364-5134|1531-8249"	"ENG"
"ANNALS OF NEUROSCIENCES"	"0972-7531|0976-3260"	"ENG"
"ANNALS OF NONINVASIVE ELECTROCARDIOLOGY"	"1082-720X|1542-474X"	"ENG"
"ANNALS OF NUCLEAR ENERGY"	"0306-4549|1873-2100"	"ENG|MUL"
"ANNALS OF NUCLEAR MEDICINE"	"0914-7187|1864-6433"	"ENG"
